"Copula","AIC","BIC","p_value_CvM","p_value_AD","Test_result","etf"
"t",-6790.00518630633,-6784.5355321334,NA,NA,NA,"eem"
"normal",-5850.97472779913,-5845.5050736262,NA,NA,NA,"eem"
"gumbel",-5534.4247333073,-5528.95507913437,NA,NA,NA,"eem"
"frank",-5346.48761925566,-5341.01796508273,NA,NA,NA,"eem"
"clayton",-5001.55407264226,-4996.08441846932,NA,NA,NA,"eem"
"normal",-1604.3305708043,-1598.97301460339,NA,NA,NA,"eemo"
"t",-1563.44935074588,-1558.09179454497,NA,NA,NA,"eemo"
"gumbel",-1298.75235909826,-1293.39480289735,NA,NA,NA,"eemo"
"frank",-1294.23476836459,-1288.87721216368,NA,NA,NA,"eemo"
"clayton",-1293.35237657331,-1287.9948203724,NA,NA,NA,"eemo"
"normal",-1601.85273673988,-1596.64487686845,NA,NA,NA,"eemv"
"t",-1430.86542086354,-1425.65756099211,NA,NA,NA,"eemv"
"clayton",-1296.8777150838,-1291.66985521237,NA,NA,NA,"eemv"
"gumbel",-1286.89719616277,-1281.68933629133,NA,NA,NA,"eemv"
"frank",-1221.08227474831,-1215.87441487688,NA,NA,NA,"eemv"
"normal",-1064.91431047275,-1059.59246075896,NA,NA,NA,"fem"
"t",-909.917827767443,-904.595978053655,NA,NA,NA,"fem"
"clayton",-862.735766579696,-857.413916865908,NA,NA,NA,"fem"
"gumbel",-792.151456693479,-786.829606979691,NA,NA,NA,"fem"
"frank",-755.205335557734,-749.883485843946,NA,NA,NA,"fem"
"t",-6311.39767680339,-6306.00749537516,NA,NA,NA,"ieem"
"normal",-5890.37875170578,-5884.98857027756,NA,NA,NA,"ieem"
"gumbel",-5431.13030083813,-5425.7401194099,NA,NA,NA,"ieem"
"frank",-5146.31434724837,-5140.92416582014,NA,NA,NA,"ieem"
"clayton",-4483.43695660215,-4478.04677517393,NA,NA,NA,"ieem"
"normal",-1688.15879758916,-1682.92968371136,NA,NA,NA,"psrm"
"t",-1687.50386364713,-1682.27474976933,NA,NA,NA,"psrm"
"clayton",-1460.19653113573,-1454.96741725793,NA,NA,NA,"psrm"
"gumbel",-1350.04543046532,-1344.81631658753,NA,NA,NA,"psrm"
"frank",-1280.12875928963,-1274.89964541183,NA,NA,NA,"psrm"
