etf,distribucion,h_valor,cbr,qs,kz,m,q,cbr_wcor,qs_wcor,kz_wcor,m_wcor,q_wcor
eem,copula,100,-0.27515682135848135,-0.2992102153824915,-0.3331893341711607,-0.3790327862769034,-0.41860664767555866,-0.1979650234204113,-0.21206751396201864,-0.223676613047536,-0.2495164353961316,-0.2885952385462244
eemo,copula,100,-0.30482318998511476,-0.33062413456796214,-0.3620165899103563,-0.4087604656774731,-0.4466475636269987,-0.2136136016026559,-0.22918530880942312,-0.2388992542366,-0.26556504017662474,-0.30305119908484496
eemv,copula,100,-0.31680005801726807,-0.3419058875174178,-0.37258994657742395,-0.4181619072468468,-0.457830998264336,-0.22871286090106815,-0.24373574529181943,-0.25331500000280405,-0.27910839215121935,-0.3184044178201531
fem,copula,100,-0.309996977754227,-0.3350673854709606,-0.36404935312503794,-0.4090259407883679,-0.4469536428841978,-0.22043507161659703,-0.23508742429157423,-0.24381253968278807,-0.26878002603437395,-0.30629548953566665
ieem,copula,100,-0.2943946264834439,-0.31892342723435985,-0.350025060585235,-0.39530642700077306,-0.4360457171207059,-0.2108618280171496,-0.22510226393883076,-0.2350352773973313,-0.26024765188236154,-0.3004995065507886
psrm,copula,100,-0.31333137677296186,-0.3384822939943827,-0.3678584589325259,-0.4131031616445234,-0.4521785896328883,-0.22390106498320156,-0.23874442659610945,-0.24742086322381285,-0.2726412871427583,-0.3112800692376399
vwo,copula,100,-0.09149150031055234,-0.10951254076369066,-0.14722627847246056,-0.18819714209972416,-0.2295974647967516,-0.05423955036683721,-0.06254780202553555,-0.07793281347725453,-0.09927362960667122,-0.14028701827061188
eem,copula,150,-0.15584366297361452,-0.17284061307343757,-0.18143531304899027,-0.208101834887176,-0.22430123880639277,-0.10725213940886805,-0.11656020704717904,-0.11835764573342272,-0.13289315431371326,-0.14891534569999423
eemo,copula,150,-0.212272851431307,-0.23176637247672335,-0.23849052835897955,-0.2674093139629146,-0.2835247352390795,-0.14583850715521943,-0.15753667583014297,-0.1574770372440849,-0.17421675291794703,-0.1902406608026387
eemv,copula,150,-0.20529363454617464,-0.22365159107060825,-0.2303387493925741,-0.25780919695825405,-0.2740805823397265,-0.14472741039662418,-0.15545310239848573,-0.15570031230331663,-0.1712399031781827,-0.1874007125233073
fem,copula,150,-0.2066851604599209,-0.22484106532088827,-0.23116188772339044,-0.2582067902879642,-0.27386890853586215,-0.14582100664931402,-0.15648505438830126,-0.15654123340862594,-0.1719045679738844,-0.18745500712398996
ieem,copula,150,-0.2018475838142333,-0.2194124291555217,-0.22695594422345067,-0.25378088543930544,-0.2712605383371267,-0.1467082173074374,-0.15689788997653872,-0.15774999993857394,-0.17293538514920578,-0.19030576590640605
psrm,copula,150,-0.21329652074488128,-0.23163229265528257,-0.237785637953706,-0.2650325214291831,-0.2817878445994777,-0.1516525288510762,-0.16235606093900773,-0.16223183136836458,-0.1775787466182717,-0.19421598496016443
vwo,copula,150,0.03360535299515225,0.02237334879330777,0.00899389047813824,-0.0126463010288612,-0.02954594104107211,0.04440177324568472,0.04028642874790925,0.0339154523390354,0.02357972973369938,0.00679844026612366
eem,copula,200,-0.0924793567705012,-0.10463639114785776,-0.10640132147026655,-0.12394575717764723,-0.13291803730513893,-0.06252261055882109,-0.06871163913412479,-0.06840728327278657,-0.07754945912243337,-0.0864591272597284
eemo,copula,200,-0.15797118075500288,-0.17303852063627537,-0.17256244698002388,-0.1928772992438558,-0.20184665261837345,-0.10813925018703636,-0.11700447167871128,-0.11454238456518052,-0.12620115937528553,-0.1351347308499633
eemv,copula,200,-0.15872620982307414,-0.17367687414012423,-0.17338315801263138,-0.19362434004947235,-0.202665723186844,-0.11040149110401874,-0.11912411256254488,-0.11684284057619498,-0.12838986139308065,-0.13738634885662057
fem,copula,200,-0.1446603003009407,-0.15879061933040084,-0.15853698687956905,-0.17770967284276343,-0.185809160902671,-0.09922878660370046,-0.10743053665901374,-0.10525958325030645,-0.11613274898214912,-0.12419726725255945
ieem,copula,200,-0.14009403041395913,-0.15353031806599182,-0.15428573863399156,-0.17295822668887834,-0.1820901193322901,-0.1007599747581898,-0.10843412505822855,-0.10702916256432296,-0.11755732505051984,-0.12665255548114537
psrm,copula,200,-0.15856258100591805,-0.1733019465701515,-0.17299064336853112,-0.192902486661238,-0.20176519587957376,-0.11036663609996686,-0.11911805140580682,-0.1167618692615092,-0.1282733010739015,-0.13707416845607517
vwo,copula,200,0.0987937315159497,0.09136877348990932,0.08515856143402724,0.07169496368506238,0.06225715681499205,0.09705122097882415,0.09554328705313214,0.09139392508821656,0.08613737994756807,0.07677482225101744
eem,copula,250,-0.05989175227048587,-0.06940956798395354,-0.0689772166772755,-0.08204098667720504,-0.08774075176068205,-0.03992365898768001,-0.04464953086949148,-0.04382802306786013,-0.05055972062105506,-0.05623162874156796
eemo,copula,250,-0.11916240897232434,-0.13138424733327864,-0.12847550685761183,-0.14404456976138488,-0.1495314094620619,-0.07983490362478628,-0.08695160346528259,-0.08393687555949401,-0.09284559628550218,-0.09831543503398442
eemv,copula,250,-0.13029946069945142,-0.1429244413745716,-0.13984923319452214,-0.1559145303423968,-0.1617197889858092,-0.08944039117499022,-0.0967562656622456,-0.09359393623128794,-0.10274959702088914,-0.10853264598283566
fem,copula,250,-0.11731489713647487,-0.1288660711141075,-0.12630876866585164,-0.14112259769906935,-0.1464037489089925,-0.08158681295860691,-0.08824984110239124,-0.08552803249666492,-0.09393388903352878,-0.09919801473295883
ieem,copula,250,-0.10526387423727898,-0.11564704832951944,-0.11421172822642876,-0.12792233640365805,-0.13379337768765867,-0.07792357889549123,-0.08365298314592837,-0.0819095407456994,-0.08947144855373408,-0.09532033548584806
psrm,copula,250,-0.11377038711437228,-0.12541480736290714,-0.12268581776771778,-0.137590205675549,-0.14316778725129664,-0.07715203965460452,-0.08373891513262492,-0.08095896037939432,-0.08926780840745566,-0.0948101114670252
vwo,copula,250,0.15257729066159578,0.14798622420884688,0.14434453406261408,0.13585503533425458,0.13009726228879898,0.14198221009363815,0.14230950302712603,0.13874593712563987,0.13656108075863818,0.13084011591265118
eem,copula,300,-0.03945641849399027,-0.04756256589046878,-0.04592821569251434,-0.05657915003713723,-0.06046026146987566,-0.02360425521640028,-0.02755716155252671,-0.02637416016372468,-0.03179349095227304,-0.03566261818249964
eemo,copula,300,-0.09575480724843095,-0.10608869523376512,-0.10239182353930756,-0.11508010926487632,-0.11867961768715846,-0.06356063717035693,-0.06969291892555834,-0.06658915996497086,-0.074005362039663,-0.07759603965944228
eemv,copula,300,-0.10528439930512906,-0.11594946385578896,-0.11198489233847336,-0.12505420309287485,-0.12894665210518688,-0.07141097199813763,-0.07763439775549817,-0.07435883225929918,-0.0818838622415827,-0.08576378198975136
fem,copula,300,-0.09099874846194692,-0.10081501445405586,-0.09739368798410508,-0.10952077881472162,-0.1129652649788543,-0.06150167068314778,-0.06716375798558182,-0.06434979217592648,-0.07126506989824052,-0.07470297707136968
ieem,copula,300,-0.07455033330682405,-0.08287777028831153,-0.08048555033846948,-0.091093436364744207,-0.095134148939352,-0.05408491298326155,-0.05834048383837339,-0.05657208037530496,-0.06206900396574698,-0.06609318469953337
psrm,copula,300,-0.0947341631164164,-0.10500116602263436,-0.1012344228865918,-0.1138546824192296,-0.11764155154424089,-0.06266451887666116,-0.06860757156583308,-0.06549707734432808,-0.07270800784818858,-0.07646970354218896
vwo,copula,300,0.1989302046492805,0.1961140143314595,0.19401645923314512,0.1885261013250948,0.184574457455461,0.18583702761918405,0.18752387968895917,0.1844427357195767,0.18439865217691048,0.1804630570698635
eem,copula,350,-0.03442626274374869,-0.04163487073485077,-0.03952345861950757,-0.04870629656620868,-0.05169677829288986,-0.02110059546739284,-0.02478926491928101,-0.02339339207769891,-0.02826431200133533,-0.03124681973525843
eemo,copula,350,-0.07307957754667867,-0.08198497745952989,-0.07785232484110147,-0.08847269489579404,-0.09097681633829172,-0.0453707516183656,-0.05050686906845494,-0.04747372592635664,-0.05353138615622392,-0.05602768281519301
eemv,copula,350,-0.09727232941151538,-0.10697330859168416,-0.10250354298446954,-0.1140404725152734,-0.11687001159812078,-0.06637985937398347,-0.07222621509810749,-0.06878373505280067,-0.07564896910265488,-0.07847177648666975
fem,copula,350,-0.07719036767696644,-0.08591430417116662,-0.08204905786491282,-0.09252054480368854,-0.09501059650857524,-0.0513313961811452,-0.05638183333656638,-0.05351887697671721,-0.05952753535459406,-0.06201485161867166
ieem,copula,350,-0.05594227339780479,-0.0629630400387387,-0.06027749426543885,-0.06898877293118358,-0.07190230940394353,-0.03991410542235062,-0.04338508868006204,-0.04170029956873618,-0.04609922629759765,-0.0490055244619869
psrm,copula,350,-0.08157900192282799,-0.09063480368352364,-0.08654382729864293,-0.09737757369646466,-0.1001496329518217,-0.05393936173160874,-0.05923349960649648,-0.0561762172247781,-0.06244981484837274,-0.0652033518775801
vwo,copula,350,0.2152763623891912,0.21304221107942128,0.21151307239084036,0.2072009002256824,0.2043460243505003,0.2023137846178768,0.204036145209702,0.20118143296093896,0.20149554503060943,0.19865060379250415
eem,copula,400,-0.01282045107620451,-0.01829770427287234,-0.0163811482537266,-0.02331144739878132,-0.02563469967548221,-0.00567023492353557,-0.00798332473160168,-0.00716854278515375,-0.01034536654104973,-0.01266426634694312
eemo,copula,400,-0.05622299938412668,-0.0639832566540287,-0.0598115520634205,-0.06887449244897474,-0.07069067761533142,-0.03235630354484989,-0.03674516556054648,-0.03390439678066827,-0.03899015929557523,-0.04080115775392153
eemv,copula,400,-0.07890830015083991,-0.08671167731674748,-0.08262070552215169,-0.09175575005391176,-0.09398470801871886,-0.05543360751826681,-0.05998450713307639,-0.05709627327801712,-0.06237924157588314,-0.06459954130290861
