"","cbr","qs","kz","m","q","cbr_wcor","qs_wcor","kz_wcor","m_wcor","q_wcor"
"1",-0.00246853384341112,-0.0026022205605939,-0.00255544280342643,-0.0027191448502225,-0.00284498600967943,-0.00188789319518614,-0.00195812822933752,-0.00191979094261141,-0.00200245222581803,-0.0021282799448402
"2",-0.00137349723372354,-0.00150457072150327,-0.00151702542133382,-0.00170151522972872,-0.00176036385696106,-0.00102200765837886,-0.00109752293033195,-0.00108481442505601,-0.00118892678286887,-0.00124690048533903
"3",-0.00192667254590441,-0.00210407664916033,-0.00211817353280464,-0.00235922560240834,-0.0024286114309334,-0.00134615378523641,-0.00147580051272604,-0.00144622269240756,-0.00161479190690924,-0.00168368896786601
"4",-0.000550323148776035,-0.000658026593451501,-0.000634355407977337,-0.000773650596791213,-0.000877999677611873,-0.000167872744857764,-0.000221128402471452,-0.000198003378639251,-0.000264304644346351,-0.000370633953129159
"5",-0.00293987986558933,-0.00309183995898461,-0.00309898643141519,-0.00330350541542195,-0.00345725052203583,-0.0024370436853273,-0.00254778107816969,-0.002519032217172,-0.00266102788818957,-0.00281461493036722
"6",0.00151168893254112,0.00144763227266885,0.0013646015063317,0.00123915421575377,0.00118580699069034,0.00146644524376764,0.00145007093384334,0.00138644853325925,0.00132601021695892,0.00127167676598262
"7",-0.00108750709463918,-0.00120330018998961,-0.00119380668792927,-0.00134980347294309,-0.00141581113830389,-0.000698997179276679,-0.000759583824072597,-0.000739362395605587,-0.000819704470216625,-0.000887638194170486
"8",-0.00189606459569453,-0.00200905032656152,-0.0019959638788779,-0.00214585681643129,-0.00222678215442082,-0.00151758318364429,-0.00157875178906296,-0.00155680555608148,-0.0016350462873325,-0.00171681938417257
"9",-0.00185162910634538,-0.00196358859948817,-0.00195110322445305,-0.00210202860649325,-0.0022126130427947,-0.00147493647560367,-0.00152981242564021,-0.00150901305572719,-0.00158220469226551,-0.00169139766794618
"10",-0.0010329929176945,-0.00113670945410811,-0.00112740723625297,-0.00126978427964905,-0.00137014983199829,-0.000741901454688588,-0.000787216380113815,-0.000771257698058203,-0.000831735466454297,-0.000929357534048569
"11",-0.00123998621594935,-0.00138514179728398,-0.00138528235629478,-0.00158477518410082,-0.00165187951693842,-0.000792961739716537,-0.000876542442285234,-0.000851397271755765,-0.000963054244118286,-0.00102877454184803
