"cbr","qs","kz","m","q","cbr_wcor","qs_wcor","kz_wcor","m_wcor","q_wcor"
0.066,0.058,0.058,0.046,0.042,0.074,0.074,0.072,0.069,0.065
0.308,0.31,0.306,0.306,0.298,0.27,0.278,0.273,0.28,0.272
0.04,0.031,0.031,0.019,0.012,0.053,0.049,0.049,0.043,0.037
0.181,0.178,0.174,0.167,0.155,0.163,0.165,0.161,0.161,0.15
0.441,0.441,0.436,0.432,0.431,0.408,0.414,0.408,0.412,0.41
0.181,0.18,0.176,0.171,0.16,0.16,0.165,0.16,0.163,0.151
-0.095,-0.107,-0.104,-0.119,-0.126,-0.055,-0.062,-0.058,-0.067,-0.073
-0.111,-0.126,-0.125,-0.146,-0.153,-0.067,-0.078,-0.075,-0.089,-0.096
0.206,0.196,0.194,0.18,0.175,0.216,0.211,0.21,0.203,0.199
0.219,0.209,0.203,0.187,0.18,0.223,0.218,0.214,0.204,0.197
-0.02,-0.03,-0.036,-0.051,-0.058,-0.017,-0.024,-0.028,-0.039,-0.046
0.129,0.121,0.118,0.106,0.098,0.137,0.131,0.131,0.123,0.115
0.081,0.072,0.066,0.052,0.045,0.075,0.071,0.067,0.06,0.053
0.266,0.26,0.258,0.247,0.243,0.271,0.272,0.269,0.267,0.264
0.118,0.111,0.109,0.098,0.092,0.119,0.116,0.115,0.11,0.104
0.397,0.395,0.393,0.388,0.382,0.383,0.386,0.384,0.386,0.38
0.3,0.304,0.299,0.301,0.296,0.25,0.261,0.254,0.264,0.259
0.217,0.215,0.21,0.204,0.201,0.196,0.197,0.194,0.192,0.189
-0.125,-0.142,-0.145,-0.168,-0.175,-0.086,-0.1,-0.097,-0.116,-0.123
0.001,-0.002,-0.004,-0.009,-0.02,-0.019,-0.016,-0.019,-0.018,-0.028
0.161,0.155,0.151,0.141,0.134,0.159,0.156,0.155,0.149,0.143
0.055,0.043,0.043,0.027,0.022,0.081,0.073,0.075,0.065,0.06
0.114,0.109,0.107,0.099,0.091,0.11,0.109,0.108,0.105,0.097
0.44,0.433,0.429,0.417,0.417,0.441,0.439,0.437,0.431,0.431
0.28,0.282,0.279,0.279,0.273,0.246,0.255,0.249,0.257,0.251
0.122,0.118,0.116,0.109,0.104,0.106,0.109,0.105,0.106,0.102
0.075,0.069,0.063,0.053,0.048,0.055,0.054,0.049,0.044,0.039
0.086,0.079,0.079,0.07,0.063,0.095,0.094,0.093,0.091,0.084
0.144,0.135,0.135,0.122,0.12,0.16,0.158,0.157,0.152,0.15
-0.084,-0.095,-0.098,-0.115,-0.119,-0.071,-0.08,-0.08,-0.092,-0.096
0.515,0.517,0.512,0.511,0.505,0.485,0.493,0.488,0.494,0.488
0.202,0.192,0.191,0.176,0.17,0.212,0.207,0.207,0.2,0.193
0.275,0.273,0.265,0.258,0.253,0.251,0.253,0.245,0.244,0.238
0.484,0.474,0.472,0.456,0.451,0.503,0.499,0.498,0.491,0.485
0.281,0.276,0.272,0.263,0.257,0.27,0.269,0.266,0.263,0.257
0.058,0.056,0.054,0.05,0.045,0.042,0.044,0.042,0.043,0.038
0.004,-0.003,-0.008,-0.019,-0.026,-0.003,-0.007,-0.01,-0.017,-0.024
0.006,-0.006,-0.013,-0.031,-0.037,0.01,0.001,-0.003,-0.017,-0.024
0.586,0.59,0.581,0.58,0.575,0.542,0.553,0.541,0.548,0.543
0.043,0.035,0.033,0.021,0.017,0.051,0.047,0.047,0.041,0.037
-0.199,-0.207,-0.21,-0.221,-0.235,-0.2,-0.204,-0.206,-0.212,-0.226
0.068,0.064,0.061,0.054,0.048,0.057,0.058,0.054,0.052,0.046
0.072,0.066,0.06,0.05,0.047,0.059,0.056,0.052,0.046,0.043
0.038,0.032,0.033,0.024,0.018,0.05,0.047,0.048,0.044,0.038
0.647,0.647,0.641,0.636,0.634,0.624,0.63,0.623,0.625,0.623
0.211,0.208,0.205,0.198,0.192,0.196,0.198,0.194,0.194,0.188
0.099,0.094,0.092,0.084,0.079,0.089,0.09,0.088,0.087,0.082
0.384,0.383,0.379,0.375,0.373,0.359,0.365,0.361,0.364,0.362
0.111,0.107,0.107,0.101,0.098,0.104,0.107,0.105,0.108,0.105
0.323,0.323,0.321,0.318,0.314,0.299,0.307,0.303,0.309,0.304
0.151,0.152,0.148,0.147,0.143,0.117,0.123,0.118,0.122,0.119
0.337,0.33,0.325,0.313,0.308,0.336,0.334,0.33,0.325,0.32
0.021,0.018,0.014,0.007,0.002,-0.002,-0.001,-0.005,-0.007,-0.012
0.093,0.089,0.088,0.082,0.074,0.088,0.089,0.087,0.087,0.08
-0.138,-0.151,-0.146,-0.161,-0.167,-0.087,-0.095,-0.091,-0.099,-0.105
0.193,0.193,0.19,0.187,0.181,0.165,0.17,0.165,0.168,0.163
0.096,0.092,0.09,0.082,0.078,0.081,0.082,0.079,0.079,0.074
0.117,0.112,0.107,0.097,0.092,0.112,0.111,0.107,0.103,0.098
0.042,0.035,0.033,0.022,0.018,0.042,0.041,0.039,0.035,0.03
0.131,0.126,0.124,0.115,0.108,0.123,0.124,0.121,0.119,0.112
0.133,0.122,0.116,0.099,0.094,0.135,0.128,0.125,0.114,0.108
0.036,0.033,0.028,0.02,0.009,0.018,0.02,0.015,0.014,0.003
0.418,0.425,0.422,0.427,0.421,0.365,0.379,0.372,0.386,0.38
0.442,0.441,0.435,0.429,0.423,0.42,0.425,0.419,0.42,0.413
-0.085,-0.096,-0.097,-0.112,-0.118,-0.068,-0.073,-0.073,-0.081,-0.087
0.147,0.145,0.141,0.136,0.131,0.119,0.123,0.118,0.121,0.117
0.11,0.101,0.101,0.088,0.082,0.124,0.12,0.121,0.114,0.108
0.069,0.068,0.064,0.06,0.056,0.044,0.046,0.042,0.042,0.038
0.191,0.197,0.192,0.195,0.19,0.137,0.147,0.14,0.148,0.143
0.433,0.437,0.433,0.434,0.432,0.389,0.399,0.392,0.402,0.4
0.209,0.205,0.2,0.191,0.183,0.196,0.197,0.192,0.19,0.182
0.011,0.001,-0.007,-0.024,-0.029,0.007,0,-0.006,-0.017,-0.023
0.415,0.413,0.409,0.403,0.394,0.396,0.399,0.394,0.394,0.386
0.105,0.104,0.103,0.101,0.095,0.082,0.088,0.084,0.09,0.084
0.187,0.187,0.187,0.186,0.178,0.171,0.177,0.174,0.18,0.172
0.093,0.087,0.085,0.075,0.072,0.089,0.087,0.086,0.082,0.079
-0.196,-0.212,-0.212,-0.233,-0.24,-0.15,-0.163,-0.159,-0.175,-0.182
0.027,0.019,0.017,0.005,0,0.033,0.03,0.029,0.024,0.019
0.088,0.084,0.082,0.075,0.072,0.075,0.075,0.073,0.072,0.07
0.333,0.339,0.335,0.34,0.337,0.27,0.284,0.276,0.289,0.286
0.02,0.014,0.012,0.003,0,0.021,0.019,0.017,0.013,0.01
-0.044,-0.055,-0.055,-0.07,-0.077,-0.015,-0.023,-0.02,-0.03,-0.037
0.106,0.106,0.102,0.099,0.092,0.077,0.08,0.075,0.077,0.07
0.347,0.353,0.349,0.353,0.348,0.297,0.31,0.303,0.315,0.31
0.128,0.124,0.121,0.114,0.111,0.117,0.118,0.114,0.113,0.11
-0.015,-0.019,-0.022,-0.029,-0.035,-0.029,-0.028,-0.031,-0.032,-0.038
-0.018,-0.024,-0.026,-0.036,-0.043,-0.018,-0.018,-0.021,-0.024,-0.03
0.119,0.121,0.116,0.117,0.114,0.078,0.083,0.078,0.083,0.079
0.2,0.196,0.192,0.184,0.18,0.184,0.186,0.182,0.182,0.178
