"","cbr","qs","kz","m","q","cbr_wcor","qs_wcor","kz_wcor","m_wcor","q_wcor"
"1",-0.00142251114810755,-0.00156849240778739,-0.00154653379783326,-0.00173632838998239,-0.00184407892868321,-0.000902909676259202,-0.000983171247670806,-0.000958309425017779,-0.00106112895031032,-0.0011682382494614
"2",-0.00139336012645542,-0.00157186015424665,-0.00156348006646268,-0.00180161005085688,-0.0018757223386057,-0.000760628005575161,-0.000878785974911233,-0.000834347741564373,-0.000983982000376143,-0.0010538324438512
"3",0.000176512120880234,3.22272643852092e-05,2.37335620965774e-05,-0.000188050871665588,-0.000258337588695295,0.000595589768415396,0.000535199463550278,0.000546639686213464,0.000446252736799858,0.000376427906023687
"4",-0.000931126380594444,-0.0010387716015143,-0.00103760250481125,-0.0011870368107901,-0.00127275617087465,-0.00063825880856548,-0.000691367027029049,-0.000677318682917158,-0.000750155345865367,-0.000835630232642668
"5",-0.00077762847739182,-0.000913606314226363,-0.000885912662982468,-0.00106154776020296,-0.00112237284492699,-0.000294490007876964,-0.000363892348555349,-0.000336373899043197,-0.000423153326473124,-0.000482158378061107
"6",-0.00108444257732807,-0.00117103558444749,-0.00115955324473306,-0.0012773201092303,-0.00139207529361511,-0.000836841597171962,-0.000868883440520765,-0.000860950060459237,-0.000905852696739943,-0.00102179332984295
"7",-0.00118580757429142,-0.00133220712177143,-0.00130930542722107,-0.00150030242454008,-0.00155741297692261,-0.000642679877598575,-0.000723068162902497,-0.000691910362180012,-0.00079427920274612,-0.000849836626803928
"8",-0.00258213277631884,-0.00275647607514514,-0.00273772534376889,-0.00296702145172283,-0.00308127087323449,-0.00197084330618307,-0.00207613193094032,-0.00203763915301643,-0.00217015602455094,-0.00228157443035796
"9",-0.000230564249599248,-0.000382932846071765,-0.000405759596430052,-0.000628707259200801,-0.000697369574792641,0.000182567115789018,0.000102919292423259,0.000115795721468366,-5.48533875612553e-06,-7.29611314658381e-05
"10",-0.00217940848887235,-0.00234832430740323,-0.00232331002683171,-0.00254094801047804,-0.00265992135633022,-0.00154387528755779,-0.00165112772400815,-0.00160879043421414,-0.00174131659163107,-0.0018628258460599
"11",-0.0022090199563748,-0.00240072828645365,-0.00237806910166119,-0.00262935084816795,-0.00268652677564855,-0.00152859452709378,-0.00164285415240429,-0.00160039002501349,-0.0017436497840664,-0.00179963232656777
"12",-0.00161292783462053,-0.00182799094008116,-0.00181800286389993,-0.00210740102308927,-0.00219186491906472,-0.00089438808182358,-0.00102088566992281,-0.000979349294348209,-0.00114400740537125,-0.00122375591525229
"13",-0.00261602123964113,-0.00284133349393246,-0.0028118898166957,-0.0031038467430873,-0.00324550525196572,-0.00177129710957367,-0.00190949490480547,-0.0018596980670276,-0.00203399044861548,-0.00217230990532209
"14",-0.00187107453823038,-0.00204988557914446,-0.00204549794179904,-0.00228839312451405,-0.00239201530356232,-0.00131261048933173,-0.00141177554923276,-0.00138486432846682,-0.00151701634707258,-0.00161738969439395
"15",-0.00149578331372861,-0.0015969705874934,-0.00159710399567375,-0.00173594174745277,-0.00180466303469269,-0.00122203983870702,-0.00127639149708228,-0.00126606023812109,-0.00133877733511725,-0.00140709324995767
"16",-0.00112471316394982,-0.00121613143976536,-0.00123885799514634,-0.00137862304928378,-0.00145418413202424,-0.00100276349622928,-0.0010358475312648,-0.00104448802926016,-0.00110089435023495,-0.00118016900964035
"17",-0.000844152904694748,-0.000918414078881964,-0.000934428237436677,-0.00105185226709756,-0.00118026252404874,-0.00079593320340693,-0.000804017971137773,-0.000816802122296345,-0.000842948727854742,-0.000973658427777172
"18",-0.00232083781446737,-0.0024932719594438,-0.0024845217744622,-0.00271250858423111,-0.00282924882475976,-0.00168916182337452,-0.00180837546878665,-0.00176459048528709,-0.00191376821522669,-0.00202700620367368
"19",-0.00113032681146387,-0.00124352369956212,-0.00122149566143061,-0.00137224207861089,-0.00142430946300077,-0.000763830085476304,-0.000808347649483115,-0.000788790413109655,-0.000847839203172273,-0.000897863946259972
"20",-0.0019481030591586,-0.00216658482987449,-0.00214322094969271,-0.00242622928158163,-0.0025549840674791,-0.0011232297047651,-0.00126635160255451,-0.00121704689821666,-0.00139658639119703,-0.00152712308767002
"21",-0.00178105802793481,-0.0019515646022928,-0.00193968525971865,-0.00216536114114453,-0.00222578796820269,-0.00119019854163421,-0.00129205676242211,-0.00126290164903867,-0.00139490299276777,-0.00145441206735579
"22",-0.00205064185963499,-0.00224732054041951,-0.00221369657860455,-0.0024687484313123,-0.00253884920105374,-0.00133317516569434,-0.00143862605041315,-0.00139927523269151,-0.0015332222779981,-0.00160083193921329
"23",-0.000524448292287616,-0.000639825828070385,-0.000711913293337225,-0.000895390549560174,-0.000957050674970382,-0.000380579524949483,-0.000452688525739515,-0.000484700548175514,-0.000601632882512552,-0.000662770664482198
"24",-0.00123365111983389,-0.00134475501580486,-0.00135866518799928,-0.0015219885023812,-0.00167171295799361,-0.00102485005945803,-0.00106354407456898,-0.0010702870130044,-0.00113417001397737,-0.00127933486647182
"25",-0.00044764479199781,-0.000568805105504297,-0.00061665474693336,-0.00080713494096835,-0.000877809658158312,-0.000306463569295824,-0.000361488792630507,-0.0003738608253042,-0.000467639796830444,-0.000534111296185713
"26",-0.00089372590343715,-0.000915278693486414,-0.00098123173795252,-0.00104301877940151,-0.00116103355740514,-0.00114070279148216,-0.00112763079226084,-0.00118206416531097,-0.00119378527780632,-0.00131565699839503
"27",-0.00670552544613457,-0.00712766925255377,-0.00714753627476321,-0.00770430137469779,-0.00792500838571203,-0.00514406810800627,-0.0054922914338529,-0.00539235967679614,-0.00582745277227979,-0.00603551690774693
"28",-0.00143985394375883,-0.0015242586026725,-0.00154966160900333,-0.00167703557071669,-0.00180330425249502,-0.00130340588066164,-0.00135255949096256,-0.0013499235904884,-0.00142127369276961,-0.00154708593451877
"29",-0.000877992457314224,-0.00101576517071074,-0.00100839131132302,-0.00119559162587725,-0.00125583880069118,-0.000431287465793973,-0.000500382300912768,-0.000484250784747095,-0.000579138294106909,-0.000636708540731088
"30",-0.000956230330630715,-0.00105893197643872,-0.0010395409232284,-0.0011742400312054,-0.00126221126300134,-0.00059222255513024,-0.000643592459335108,-0.000620185322381692,-0.000684855116777103,-0.00077079722726983
"31",-0.00118350309414715,-0.00126491619374892,-0.00128473709660984,-0.00141135778223757,-0.00150071930238142,-0.00112291334628398,-0.00114478883271342,-0.00115441916592715,-0.00119563369205255,-0.0012832875260237
"32",-0.00143082182652631,-0.00155074991070478,-0.00152421233440786,-0.00168204821558921,-0.00176035519344693,-0.00102412790953181,-0.00107441991139228,-0.00105059036414497,-0.00111513081167921,-0.00119073536954454
"33",-0.00104634681071209,-0.0011614943696031,-0.00117282937079002,-0.00133658132618243,-0.00142239781757023,-0.000736886136982529,-0.000801944259958121,-0.000789926109379804,-0.000881590934166268,-0.000966456935914413
"34",-0.00209061150660879,-0.00220381443387131,-0.00220279267269135,-0.00235904097250021,-0.00252660494147747,-0.00175718526034838,-0.0018170750468536,-0.00180105710236578,-0.00188290469551062,-0.00204750808018855
"35",-0.000525467080455528,-0.000674819505989611,-0.000688986697673978,-0.000898317615188588,-0.000988557576663695,-0.000109843263457614,-0.000196798069104363,-0.000183158604344901,-0.000303792516468681,-0.000385486868754756
"36",-0.00328189358022894,-0.00339188961644577,-0.00339514693057163,-0.00355020216899134,-0.00377040698845259,-0.00299834262760536,-0.00305060291677056,-0.00303991549714006,-0.00311442329945359,-0.00333782315576664
"37",-0.00159371003684311,-0.00170174222951965,-0.00166482885178235,-0.00180522479045545,-0.00192091754571554,-0.00120603349568421,-0.00123893478317783,-0.00121480545401976,-0.00125718230308242,-0.001369456491497
"38",-0.00211821646254773,-0.00237343182681614,-0.00230060402994364,-0.00261455105915631,-0.00273796166686732,-0.00099376524563677,-0.00115101739050332,-0.00107256876473427,-0.00125860862630349,-0.00137593000572806
"39",0.000556667689057994,0.000377803320486014,0.000407374474259999,0.000174433775578799,0.000157310708734737,0.00125162400351164,0.00114722829010263,0.00119395846349971,0.00106205322221084,0.00104539068840781
"40",-0.00106443959767528,-0.00125165883362429,-0.00133766438059631,-0.00162421213971672,-0.00179511026562805,-0.000707007434336668,-0.000833733497819005,-0.000851439183456702,-0.00104551900047057,-0.00120740024670253
"41",-0.000177787049323483,-0.000245417274003169,-0.000245192508579491,-0.000349373240356989,-0.000415083511397768,-8.32882072608532e-05,-8.37701580558704e-05,-8.63191845951014e-05,-0.000101163963353934,-0.000164852105890701
"42",-0.00227776856677223,-0.00240857800998611,-0.0024309347666284,-0.00261703998735409,-0.0027355434904764,-0.00193303600147531,-0.00202165090547374,-0.00200397566974287,-0.00212342030874267,-0.00224834447220187
"43",-0.00217373022912622,-0.00235198232941845,-0.00236488258123911,-0.0026070191460669,-0.00267965067596872,-0.00160912512332648,-0.00173317463579283,-0.00170797920749921,-0.00186934965487794,-0.00194275798882516
"44",-0.00313650129437983,-0.00338386636268419,-0.0034327654575462,-0.00377476483903668,-0.00394463148862376,-0.00235603204743792,-0.00254036592674648,-0.00253128554936364,-0.00278110071795613,-0.0029488197452635
"45",-0.00141725961842759,-0.00154770800779724,-0.00155733855084863,-0.00174347646967111,-0.0018615742610474,-0.00106945010764013,-0.00113727651447597,-0.00112202348781892,-0.00121927116331563,-0.0013387250590269
"46",-0.000719371285589681,-0.000840432194873143,-0.000844973721419951,-0.00101514624360782,-0.00108771658977673,-0.000410529554900844,-0.000471438947346788,-0.000458272430324945,-0.000542870280403222,-0.000612702144862899
"47",-0.00195287271531466,-0.00215275566811831,-0.00223101965815082,-0.00252311640322688,-0.00262366965214801,-0.00142865896942292,-0.00157736076249512,-0.0015949672978129,-0.00180928468064904,-0.00190670308056751
"48",-0.00210663303147341,-0.00230371424690593,-0.00228976044608959,-0.00255402987837925,-0.0026154375074402,-0.00145481241138018,-0.00156476889573919,-0.00152902581246318,-0.00167301750967316,-0.00174033148624209
"49",0.000177204067807396,-9.25164732401562e-06,9.29748496360716e-06,-0.000236692940999317,-0.000294306026102173,0.00087378824929962,0.000757483057855373,0.000803332231684845,0.000655153690630683,0.000604089660883439
"50",-0.00304768057623696,-0.00324475328456558,-0.00322532134445504,-0.00348362376337229,-0.00366832504763578,-0.00230067076863181,-0.00242866868873281,-0.00237750800403606,-0.00253806831521265,-0.00272296405863772
"51",-0.0013627417215143,-0.00155093725860545,-0.00159986480448443,-0.00186927726955431,-0.00193245799741327,-0.000885048195658074,-0.00102370056010162,-0.00101106029294293,-0.00120009683229113,-0.00125401046198541
"52",-0.00217665417200636,-0.00237255772114374,-0.00238106421988442,-0.00264725810030819,-0.00275253972531599,-0.00151744390019126,-0.00165340575582485,-0.00161390348175456,-0.00179077670963409,-0.00189308289235576
"53",-0.00153887052228923,-0.00169482243081478,-0.00165745398095952,-0.00185673067538843,-0.00194156338218501,-0.000954217625254332,-0.00103311997937188,-0.000998368779271245,-0.00109618179469706,-0.00118517814618851
"54",-0.0014973055431099,-0.0016049961298522,-0.0016355329741115,-0.00179835142700302,-0.0019118288060893,-0.00131376706067197,-0.00135753787156777,-0.00137344386939863,-0.00144767174773988,-0.00156196055271405
"55",-0.00173338253335436,-0.00186941840274187,-0.00184449931951837,-0.00202109386154404,-0.00211870445977609,-0.00124146657698126,-0.00131162457980415,-0.00128543330372959,-0.00137483021261129,-0.00147167547321517
"56",-0.0061617463037327,-0.00636886623091536,-0.00643843681796906,-0.00673128132834413,-0.0072792828179794,-0.0056265675834916,-0.00578869799473434,-0.00580061628503426,-0.00602287937046673,-0.00656192532307509
"57",-0.00220590380976785,-0.00246485979257633,-0.00248014191769214,-0.00282630470360626,-0.00293007785117307,-0.00128780517189689,-0.00149011299774587,-0.00143499875150322,-0.00169180142584746,-0.00178980426782115
"58",-0.00250516376250351,-0.00269075973680818,-0.00267381360085908,-0.00292021174456803,-0.00303561863432235,-0.00184211369987855,-0.00195017414779998,-0.00191193916931844,-0.00205179925511592,-0.00216578029937646
"59",-0.000374409907452975,-0.000498840273173077,-0.000520774457771588,-0.000702736868669479,-0.000765082294118606,-7.21705014690309e-05,-0.000129841320516525,-0.000135585602407916,-0.00022679830813933,-0.000290686821974487
"60",-0.00112921261459412,-0.00126787204712098,-0.00126994298346964,-0.00146354144558946,-0.00159143357332803,-0.000690344898862358,-0.000754079886321936,-0.000750333680505253,-0.000846615307695782,-0.00097977843193485
"61",-0.00172716581707441,-0.00192253991158026,-0.00188143034355637,-0.00212945754012372,-0.00218531933684653,-0.00093174364609436,-0.00105001260813534,-0.000995638959960597,-0.0011397528097236,-0.00119157714137714
"62",-0.00173334993800561,-0.00193761804745771,-0.0019219557159856,-0.0021932876518232,-0.00229029688289697,-0.00103986703955776,-0.00116221413303675,-0.0011208635934619,-0.00127728011056506,-0.00137366811277844
"63",-0.00233809559785488,-0.00249441659395258,-0.00244316767509479,-0.00263890964906905,-0.00274612332423765,-0.00171892004039839,-0.00178550852874286,-0.00175342876931132,-0.00183663861539914,-0.00194424396372695
"64",-0.00171516395382081,-0.00183597754668901,-0.00183807488656707,-0.00200250753601121,-0.00209063611371918,-0.0013458591916371,-0.00141955786952019,-0.00140260156190959,-0.00149935463200001,-0.00158686052844738
"65",0.000113949599962333,-7.10816493454825e-05,-8.28997510472157e-05,-0.000334676695593468,-0.00048007316575404,0.000720071495669579,0.0005848842839419,0.000624253666594504,0.000450438749418579,0.000315557624440533
"66",-5.63191189645387e-05,-0.000140986470008138,-0.000181304661912554,-0.000319456765140755,-0.000501131069971917,-1.47014063818646e-05,-4.25854332351634e-05,-6.22202047571106e-05,-0.000119009809520139,-0.000301043711909768
"67",-0.00136765170437253,-0.0015709414344687,-0.00151144806293036,-0.00176796594550324,-0.00183044111585161,-0.000566556101099548,-0.000664148087938489,-0.000614851837973059,-0.000733933982833045,-0.000794188281155123
