"h","distribution","etf","m.q","kz.q","qs.q","cbr.q","kz.m","qs.m","cbr.m","qs.kz","cbr.kz","cbr.qs"
100,"t","eem",1,1,1,1,0,1,1,0,1,0
150,"t","eem",0,0,1,1,0,0,1,0,0,0
200,"t","eem",0,0,0,0,0,0,0,0,0,0
250,"t","eem",0,0,0,0,0,0,0,0,0,0
300,"t","eem",0,0,0,0,0,0,0,0,0,0
350,"t","eem",0,0,0,0,0,0,0,0,0,0
400,"t","eem",0,0,0,0,0,0,0,0,0,0
450,"t","eem",0,0,0,0,0,0,0,0,0,0
500,"t","eem",0,0,0,0,0,0,0,0,0,0
100,"gauss","eem",0,1,1,1,0,1,1,0,1,0
150,"gauss","eem",0,0,1,1,0,0,0,0,0,0
200,"gauss","eem",0,0,0,0,0,0,0,0,0,0
250,"gauss","eem",0,0,0,0,0,0,0,0,0,0
300,"gauss","eem",0,0,0,0,0,0,0,0,0,0
350,"gauss","eem",0,0,0,0,0,0,0,0,0,0
400,"gauss","eem",0,0,0,0,0,0,0,0,0,0
450,"gauss","eem",0,0,0,0,0,0,0,0,0,0
500,"gauss","eem",0,0,0,0,0,0,0,0,0,0
100,"copula","eem",1,1,1,1,1,1,1,0,1,0
150,"copula","eem",0,1,1,1,0,1,1,0,0,0
200,"copula","eem",0,0,0,1,0,0,0,0,0,0
250,"copula","eem",0,0,0,0,0,0,0,0,0,0
300,"copula","eem",0,0,0,0,0,0,0,0,0,0
350,"copula","eem",0,0,0,0,0,0,0,0,0,0
400,"copula","eem",0,0,0,0,0,0,0,0,0,0
450,"copula","eem",0,0,0,0,0,0,0,0,0,0
500,"copula","eem",0,0,0,0,0,0,0,0,0,0
100,"t","eemo",1,1,1,1,1,1,1,1,1,0
150,"t","eemo",0,1,1,1,0,1,1,0,0,0
200,"t","eemo",0,0,0,1,0,0,1,0,0,0
250,"t","eemo",0,0,0,1,0,0,0,0,0,0
300,"t","eemo",0,0,0,0,0,0,0,0,0,0
350,"t","eemo",0,0,0,0,0,0,0,0,0,0
400,"t","eemo",0,0,0,0,0,0,0,0,0,0
450,"t","eemo",0,0,0,0,0,0,0,0,0,0
500,"t","eemo",0,0,0,0,0,0,0,0,0,0
100,"gauss","eemo",1,1,1,1,1,1,1,1,1,1
150,"gauss","eemo",0,1,1,1,1,1,1,0,1,0
200,"gauss","eemo",0,1,1,1,0,0,1,0,0,0
250,"gauss","eemo",0,0,0,1,0,0,1,0,0,0
300,"gauss","eemo",0,0,0,0,0,0,0,0,0,0
350,"gauss","eemo",0,0,0,0,0,0,0,0,0,0
400,"gauss","eemo",0,0,0,0,0,0,0,0,0,0
450,"gauss","eemo",0,0,0,0,0,0,0,0,0,0
500,"gauss","eemo",0,0,0,0,0,0,0,0,0,0
100,"copula","eemo",1,1,1,1,1,1,1,1,1,1
150,"copula","eemo",0,1,1,1,1,1,1,0,1,0
200,"copula","eemo",0,1,1,1,0,0,1,0,0,0
250,"copula","eemo",0,0,0,1,0,0,0,0,0,0
300,"copula","eemo",0,0,0,1,0,0,0,0,0,0
350,"copula","eemo",0,0,0,0,0,0,0,0,0,0
400,"copula","eemo",0,0,0,0,0,0,0,0,0,0
450,"copula","eemo",0,0,0,0,0,0,0,0,0,0
500,"copula","eemo",0,0,0,0,0,0,0,0,0,0
100,"t","eemv",1,1,1,1,1,1,1,1,1,0
150,"t","eemv",0,1,1,1,0,1,1,0,0,0
200,"t","eemv",0,0,1,1,0,0,1,0,0,0
250,"t","eemv",0,0,0,1,0,0,0,0,0,0
300,"t","eemv",0,0,0,0,0,0,0,0,0,0
350,"t","eemv",0,0,0,0,0,0,0,0,0,0
400,"t","eemv",0,0,0,0,0,0,0,0,0,0
450,"t","eemv",0,0,0,0,0,0,0,0,0,0
500,"t","eemv",0,0,0,0,0,0,0,0,0,0
100,"gauss","eemv",1,1,1,1,1,1,1,0,1,0
150,"gauss","eemv",0,1,1,1,0,1,1,0,0,0
200,"gauss","eemv",0,0,0,1,0,0,1,0,0,0
250,"gauss","eemv",0,0,0,0,0,0,0,0,0,0
300,"gauss","eemv",0,0,0,0,0,0,0,0,0,0
350,"gauss","eemv",0,0,0,0,0,0,0,0,0,0
400,"gauss","eemv",0,0,0,0,0,0,0,0,0,0
450,"gauss","eemv",0,0,0,0,0,0,0,0,0,0
500,"gauss","eemv",0,0,0,0,0,0,0,0,0,0
100,"copula","eemv",1,1,1,1,1,1,1,1,1,0
150,"copula","eemv",0,1,1,1,1,1,1,0,0,0
200,"copula","eemv",0,1,1,1,0,0,1,0,0,0
250,"copula","eemv",0,0,0,1,0,0,0,0,0,0
300,"copula","eemv",0,0,0,0,0,0,0,0,0,0
350,"copula","eemv",0,0,0,0,0,0,0,0,0,0
400,"copula","eemv",0,0,0,0,0,0,0,0,0,0
450,"copula","eemv",0,0,0,0,0,0,0,0,0,0
500,"copula","eemv",0,0,0,0,0,0,0,0,0,0
100,"t","fem",1,1,1,1,1,1,1,0,1,0
150,"t","fem",0,1,1,1,0,1,1,0,0,0
200,"t","fem",0,0,0,1,0,0,0,0,0,0
250,"t","fem",0,0,0,0,0,0,0,0,0,0
300,"t","fem",0,0,0,0,0,0,0,0,0,0
350,"t","fem",0,0,0,0,0,0,0,0,0,0
400,"t","fem",0,0,0,0,0,0,0,0,0,0
450,"t","fem",0,0,0,0,0,0,0,0,0,0
500,"t","fem",0,0,0,0,0,0,0,0,0,0
100,"gauss","fem",0,1,1,1,0,1,1,0,1,0
150,"gauss","fem",0,0,1,1,0,0,1,0,0,0
200,"gauss","fem",0,0,0,0,0,0,0,0,0,0
250,"gauss","fem",0,0,0,0,0,0,0,0,0,0
300,"gauss","fem",0,0,0,0,0,0,0,0,0,0
350,"gauss","fem",0,0,0,0,0,0,0,0,0,0
400,"gauss","fem",0,0,0,0,0,0,0,0,0,0
450,"gauss","fem",0,0,0,0,0,0,0,0,0,0
500,"gauss","fem",0,0,0,0,0,0,0,0,0,0
100,"copula","fem",1,1,1,1,1,1,1,1,1,0
150,"copula","fem",0,1,1,1,0,1,1,0,0,0
200,"copula","fem",0,0,1,1,0,0,1,0,0,0
250,"copula","fem",0,0,0,0,0,0,0,0,0,0
300,"copula","fem",0,0,0,0,0,0,0,0,0,0
350,"copula","fem",0,0,0,0,0,0,0,0,0,0
400,"copula","fem",0,0,0,0,0,0,0,0,0,0
450,"copula","fem",0,0,0,0,0,0,0,0,0,0
500,"copula","fem",0,0,0,0,0,0,0,0,0,0
100,"t","ieem",0,1,1,1,0,1,1,0,1,0
150,"t","ieem",0,0,1,1,0,0,1,0,0,0
200,"t","ieem",0,0,0,0,0,0,0,0,0,0
250,"t","ieem",0,0,0,0,0,0,0,0,0,0
300,"t","ieem",0,0,0,0,0,0,0,0,0,0
350,"t","ieem",0,0,0,0,0,0,0,0,0,0
400,"t","ieem",0,0,0,0,0,0,0,0,0,0
450,"t","ieem",0,0,0,0,0,0,0,0,0,0
500,"t","ieem",0,0,0,0,0,0,0,0,0,0
100,"gauss","ieem",0,1,1,1,0,1,1,0,1,0
150,"gauss","ieem",0,0,0,1,0,0,0,0,0,0
200,"gauss","ieem",0,0,0,0,0,0,0,0,0,0
