"h","distribution","etf","m.q","kz.q","qs.q","cbr.q","kz.m","qs.m","cbr.m","qs.kz","cbr.kz","cbr.qs"
100,"t","eem",0.00291346913680264,6.71750475268087e-06,3.28743193749802e-07,2.20809856781487e-09,0.03596539368034,0.00636857912285386,0.00027644511167539,0.209677711593414,0.0333445644129467,0.127686070332787
150,"t","eem",0.0776830007420428,0.00641251006605631,0.00542904673617925,0.00045114633232302,0.107032845952187,0.0908871219866103,0.0186261119194378,0.459616214693781,0.166321571649426,0.197239993932938
200,"t","eem",0.212503010753751,0.0629114992007002,0.0711533464575459,0.0215931195197757,0.176894199892153,0.202711833872616,0.0885124244932756,0.564538172337717,0.263021023495013,0.232893313263986
250,"t","eem",0.275117312389031,0.115364664716701,0.149248487148009,0.0557071992622558,0.24195399863446,0.288314870174941,0.148681416822222,0.586551622700522,0.336700633304381,0.286648963870706
300,"t","eem",0.342068537436759,0.191858474897275,0.242717592011271,0.125655460235313,0.293339786852781,0.345665039014477,0.216782393425656,0.590354455336566,0.367527360442297,0.311238492683597
350,"t","eem",0.37029233343042,0.268631974972605,0.295867371352468,0.225489024556758,0.339380511393058,0.372139389351348,0.284158697842984,0.561650514904491,0.405851193588316,0.367527360442297
400,"t","eem",0.384215298980936,0.313833670482129,0.330479936212088,0.27348877422557,0.387018567397351,0.400176318883449,0.344764591342848,0.552002111176651,0.441240428553875,0.398289304441277
450,"t","eem",0.419167773669413,0.331365795155939,0.368448263458471,0.300952311639512,0.37398939187655,0.417259346408028,0.343865022186388,0.558759571446125,0.424904302312059,0.40112070378706
500,"t","eem",0.437386560024112,0.402065666774421,0.409645544663434,0.380487032436885,0.440276424978287,0.441240428553875,0.422033970281447,0.528730867673127,0.459616214693781,0.453802109724581
100,"gauss","eem",0.00348030403097437,5.94010698243876e-06,2.97142433878203e-07,1.87708985994121e-09,0.0319189356134834,0.00402631319354806,0.000132784953709733,0.189201754687634,0.0285739277277582,0.136570041549705
150,"gauss","eem",0.0850374999618085,0.00539114891473724,0.00391134062921948,0.000355482685510071,0.0974502285746455,0.075226339694968,0.0147836954062487,0.419167773669413,0.152681207356791,0.189201754687634
200,"gauss","eem",0.217500437513729,0.0514491603123981,0.0593676763371815,0.016509310101088,0.20827338527119,0.223294000308855,0.08056465264023,0.546197890275419,0.265418363670938,0.248099086399989
250,"gauss","eem",0.267826742586501,0.12314902747822,0.140893691926695,0.0650535840957002,0.261428967739905,0.284158697842984,0.169387939783172,0.557795219615485,0.323427577899288,0.304364008464328
300,"gauss","eem",0.31817945336918,0.167543791097854,0.197919046242099,0.117758771842994,0.293339786852781,0.335809171843523,0.215350424740551,0.574138027006812,0.366607218574108,0.329595026082744
350,"gauss","eem",0.372139389351348,0.270246081073223,0.298404912167945,0.223294000308855,0.348371607815447,0.385149057077696,0.297557964970773,0.5394138934732,0.417259346408028,0.387954309394718
400,"gauss","eem",0.377698078345414,0.288314870174941,0.322550410338234,0.237399923005102,0.345665039014477,0.381418074052561,0.304364008464328,0.561650514904491,0.420122703910668,0.371215490601504
450,"gauss","eem",0.419167773669413,0.356537274144047,0.37029233343042,0.327828069296116,0.421078104606313,0.415352866453445,0.373064024755442,0.530675001910972,0.437386560024112,0.443169474836635
500,"gauss","eem",0.43642400567916,0.412496892826218,0.411545922299488,0.396404665572716,0.452834019923814,0.446065557495325,0.426820081157917,0.507310374343999,0.46738159493884,0.464467961867887
100,"copula","eem",0.0048159628530826,1.21635126879174e-05,4.96839227107105e-07,2.9182894971851e-09,0.0328039270873522,0.00468100119008446,0.000189775161182123,0.180724964724913,0.0261126184164978,0.116796943379813
150,"copula","eem",0.127176292036669,0.0125660586245983,0.00909971812717822,0.00108750837299183,0.129739379291294,0.110680686284641,0.0250929430916258,0.434500031568431,0.180724964724913,0.211794608863031
200,"copula","eem",0.213923959589408,0.0620104567611827,0.0701620490297012,0.0232877440911271,0.199281380443755,0.20409383681321,0.0865690751530886,0.526786048516502,0.276750611848882,0.267826742586501
250,"copula","eem",0.260634799680843,0.104354444505568,0.126160987911733,0.0576554485550064,0.227696210646629,0.251981631559986,0.138720393130742,0.54329199626768,0.313833670482129,0.288314870174941
300,"copula","eem",0.317308266718912,0.173115157311092,0.197919046242099,0.119699213789412,0.276750611848882,0.305219615740182,0.194537909285804,0.557795219615485,0.355626641284204,0.328711069029033
350,"copula","eem",0.379556682591689,0.232893313263986,0.270246081073223,0.178803124378519,0.31817945336918,0.363851408388617,0.244248684323811,0.56357599432084,0.376769833980368,0.35836099088631
400,"copula","eem",0.394522444236158,0.308652663843544,0.336700633304381,0.272676298421971,0.384215298980936,0.405851193588316,0.338486307473517,0.530675001910972,0.434500031568431,0.420122703910668
450,"copula","eem",0.403011202554389,0.325184856233059,0.350180296274531,0.289985327865341,0.375842301457709,0.400176318883449,0.337593013309933,0.552968434022759,0.434500031568431,0.40112070378706
500,"copula","eem",0.431616990672213,0.363851408388617,0.371215490601504,0.334918633298545,0.397346685433962,0.425861972993188,0.366607218574108,0.538443767100784,0.446065557495325,0.413448377299478
100,"t","eemo",0.00448488177483968,2.93280508813532e-05,4.48001827852111e-06,2.88889814144196e-08,0.0389582498882316,0.0130505046617442,0.000780850395687811,0.276750611848882,0.0530145444566998,0.132338019830649
150,"t","eemo",0.107032845952187,0.00786134480566376,0.00909971812717822,0.000610720961450347,0.106583035297776,0.110680686284641,0.0193045627132828,0.51997445540661,0.177529071997513,0.173741401262826
200,"t","eemo",0.189201754687634,0.0337090495645598,0.0562584646464698,0.0111332646009689,0.140348213939399,0.190527271715304,0.0535446531587709,0.64163900911369,0.256682668923102,0.179442303519168
250,"t","eemo",0.284987636225664,0.0623096785712349,0.118241782458223,0.0284146359357105,0.171245064912728,0.278388647407892,0.0858007296128897,0.657033663946716,0.324305727913618,0.216065721952415
300,"t","eemo",0.31556893052145,0.11394491356431,0.206177332409321,0.0672518493441272,0.208974853605747,0.316438091097765,0.13391431170379,0.675694272086382,0.361102622689475,0.238912697855218
350,"t","eemo",0.335809171843523,0.137105480212308,0.231401738860477,0.0949494690267993,0.20409383681321,0.328711069029033,0.154998558510528,0.699047688360488,0.373064024755442,0.233641098654403
400,"t","eemo",0.384215298980936,0.210381957782718,0.304364008464328,0.171245064912728,0.28250428868168,0.378627029553165,0.231401738860477,0.652531448203927,0.406798967427649,0.305219615740182
450,"t","eemo",0.383282212390633,0.204786937836192,0.310375505761987,0.179442303519168,0.275117312389031,0.388890702447655,0.229174399072292,0.652531448203927,0.414400370313473,0.297557964970773
500,"t","eemo",0.405851193588316,0.259841875238167,0.347468551796073,0.230657953983508,0.313833670482129,0.410595471116029,0.280854525076347,0.647100298934062,0.410595471116029,0.322550410338234
100,"gauss","eemo",0.00350593874769132,4.63514864671393e-06,5.15686717403765e-07,1.82233383871143e-09,0.0292185406106896,0.00739909941521096,0.000195133878069874,0.236645512303549,0.0353900215273004,0.112071340425663
150,"gauss","eemo",0.061119516139606,0.00361018169007623,0.00408492646187745,0.000161917684573851,0.0672518493441272,0.0698339878817801,0.010642403181559,0.530675001910972,0.141988957648837,0.13550345891099
200,"gauss","eemo",0.19859950879308,0.0391647785196645,0.0605311353065398,0.0104378726612948,0.144752284779186,0.188541130752991,0.0538112778214942,0.627860610648652,0.245016178535785,0.174369084422091
250,"gauss","eemo",0.2590501971909,0.0685335383673074,0.128709883903446,0.0320943387384942,0.173115157311092,0.263818905536994,0.102159818963644,0.663299366695619,0.310375505761987,0.220386306398664
300,"gauss","eemo",0.325184856233059,0.145309267424828,0.221111188177866,0.0957777478596817,0.249648264714434,0.329595026082744,0.17626076456955,0.644373358715796,0.37029233343042,0.275117312389031
350,"gauss","eemo",0.371215490601504,0.187881931044689,0.267826742586501,0.154998558510528,0.272676298421971,0.37029233343042,0.218219852550526,0.636148591611382,0.400176318883449,0.297557964970773
400,"gauss","eemo",0.388890702447655,0.224024320606299,0.322550410338234,0.181368445544204,0.297557964970773,0.399232517344595,0.235140655325109,0.627860610648652,0.417259346408028,0.31817945336918
450,"gauss","eemo",0.402065666774421,0.256682668923102,0.323427577899288,0.225489024556758,0.311238492683597,0.376769833980368,0.270246081073223,0.630630077250199,0.416305860295766,0.326064958693138
500,"gauss","eemo",0.411545922299488,0.297557964970773,0.37491548576479,0.263818905536994,0.341171630815006,0.415352866453445,0.31556893052145,0.603595334427284,0.433538622985771,0.36293435957729
100,"copula","eemo",0.00167696115242529,3.00926174838315e-07,9.49187700690206e-09,1.493204743599e-11,0.0143328072878333,0.00131040144947404,1.25652681809697e-05,0.180082917172514,0.0132155349763943,0.0762718424833471
150,"copula","eemo",0.107032845952187,0.00606845093986538,0.00677371906974133,0.000349205599652685,0.0896939304941344,0.0929018799420101,0.0139806718169083,0.515105341495765,0.170624581912115,0.163894452502202
200,"copula","eemo",0.218940636850375,0.0423709967399099,0.0688568861216862,0.0130505046617442,0.156165899167397,0.215350424740551,0.0585066443395811,0.619512967563115,0.275117312389031,0.187881931044689
250,"copula","eemo",0.280854525076347,0.0850374999618085,0.13129429061541,0.0397897165572777,0.182659704362077,0.267022727943206,0.102159818963644,0.643462725855953,0.319924843610555,0.223294000308855
300,"copula","eemo",0.338486307473517,0.144752284779186,0.215350424740551,0.093308763997405,0.224024320606299,0.312967578966354,0.157927743614923,0.636148591611382,0.348371607815447,0.264618019887274
350,"copula","eemo",0.378627029553165,0.195211309589909,0.274302446582153,0.138720393130742,0.259841875238167,0.355626641284204,0.201335438284477,0.628784509398496,0.393582253208186,0.284987636225664
400,"copula","eemo",0.389827741414868,0.232893313263986,0.320799039086727,0.187881931044689,0.286648963870706,0.37398939187655,0.242717592011271,0.648914080464327,0.391703736470713,0.308652663843544
450,"copula","eemo",0.414400370313473,0.244248684323811,0.338486307473517,0.203402135059922,0.292499487871493,0.396404665572716,0.23967105755394,0.647100298934062,0.408696148320058,0.301803618521979
500,"copula","eemo",0.425861972993188,0.285817726022667,0.377698078345414,0.258259768298828,0.332252598637269,0.421078104606313,0.296712116826591,0.619512967563115,0.431616990672213,0.337593013309933
100,"t","eemv",0.000755037233498008,1.78277277142423e-07,6.46499073689407e-09,2.53184662608242e-11,0.00990912080444663,0.00099370051073098,9.0581384881676e-06,0.17249035299713,0.0112770781289352,0.0762718424833471
