"cbr","qs","kz","m","q","cbr_wcor","qs_wcor","kz_wcor","m_wcor","q_wcor"
-0.019,-0.03,-0.026,-0.039,-0.041,0.005,-0.005,0,-0.012,-0.014
0.241,0.24,0.239,0.237,0.232,0.233,0.235,0.232,0.233,0.228
0.236,0.239,0.237,0.24,0.239,0.213,0.22,0.214,0.222,0.22
0.466,0.473,0.468,0.474,0.471,0.427,0.438,0.43,0.44,0.438
0.501,0.5,0.499,0.496,0.496,0.495,0.496,0.494,0.494,0.494
0.159,0.154,0.155,0.148,0.145,0.158,0.155,0.155,0.151,0.148
-0.099,-0.107,-0.102,-0.11,-0.114,-0.073,-0.078,-0.074,-0.08,-0.083
0.023,0.015,0.018,0.009,0.008,0.035,0.03,0.032,0.026,0.025
0.253,0.245,0.248,0.238,0.238,0.263,0.258,0.26,0.253,0.253
0.206,0.197,0.198,0.187,0.183,0.218,0.21,0.213,0.202,0.199
0.149,0.145,0.147,0.142,0.138,0.154,0.153,0.154,0.152,0.148
0.037,0.032,0.034,0.028,0.023,0.043,0.042,0.043,0.04,0.035
0.159,0.155,0.156,0.151,0.149,0.159,0.158,0.157,0.155,0.153
-0.022,-0.039,-0.035,-0.056,-0.058,0.008,-0.009,-0.002,-0.023,-0.025
0.16,0.16,0.159,0.158,0.156,0.145,0.149,0.145,0.148,0.146
0.349,0.344,0.342,0.335,0.336,0.343,0.34,0.338,0.333,0.334
0.565,0.572,0.569,0.576,0.574,0.536,0.548,0.54,0.552,0.551
0.395,0.396,0.394,0.395,0.396,0.37,0.376,0.371,0.376,0.378
-0.038,-0.041,-0.041,-0.045,-0.047,-0.046,-0.046,-0.047,-0.048,-0.05
0.186,0.187,0.185,0.186,0.184,0.16,0.165,0.161,0.165,0.164
0.041,0.034,0.035,0.026,0.024,0.043,0.037,0.039,0.032,0.029
0.308,0.308,0.308,0.307,0.307,0.293,0.296,0.294,0.297,0.297
0.239,0.244,0.24,0.245,0.241,0.199,0.207,0.2,0.208,0.205
0.717,0.715,0.716,0.712,0.716,0.717,0.718,0.717,0.717,0.721
0.565,0.571,0.568,0.573,0.572,0.546,0.554,0.549,0.557,0.557
0.155,0.153,0.153,0.15,0.15,0.14,0.141,0.139,0.14,0.139
0.092,0.089,0.09,0.085,0.083,0.089,0.089,0.088,0.087,0.085
0,-0.008,-0.005,-0.014,-0.017,0.006,0,0.003,-0.004,-0.007
0.336,0.34,0.337,0.339,0.339,0.308,0.314,0.309,0.315,0.315
-0.021,-0.025,-0.024,-0.029,-0.031,-0.023,-0.024,-0.024,-0.027,-0.029
0.355,0.346,0.344,0.332,0.331,0.363,0.354,0.355,0.343,0.342
0.338,0.337,0.336,0.334,0.335,0.321,0.324,0.32,0.323,0.323
0.311,0.313,0.307,0.308,0.305,0.279,0.285,0.276,0.28,0.278
