"","cbr","qs","kz","m","q","cbr_wcor","qs_wcor","kz_wcor","m_wcor","q_wcor"
"1",-0.00221683733483967,-0.00245414552794877,-0.00264154584839355,-0.00304798530438018,-0.00347342866463469,-0.00134881597974997,-0.00144940075301813,-0.00149043713207515,-0.00166757416663468,-0.00208741294342964
"2",-0.00251110000742345,-0.00281891894029406,-0.00313340890084729,-0.00366481589835103,-0.00403167488192191,-0.00130363106235737,-0.00148853242783995,-0.00157215419608026,-0.00187409145930246,-0.00223428919924888
"3",-0.004987496535018,-0.00525422110713207,-0.00576183020738077,-0.00628509892841932,-0.00697893897797001,-0.0042196508972814,-0.0044234869193611,-0.00466355154165858,-0.00502842263007842,-0.00571524260834574
"4",-0.00282962013534141,-0.00307944677016334,-0.00333265276902663,-0.00376943319372847,-0.00407370415806783,-0.00189940870951649,-0.00203717891583122,-0.00210362740948242,-0.00233388247730431,-0.00263582394034931
"5",-0.00445643556153363,-0.00471118787217012,-0.00502176508364524,-0.0054829056971418,-0.00592242632664193,-0.00354324416581773,-0.00369877091780857,-0.00379258066348739,-0.00405881537759325,-0.00449619781737847
"6",-0.00194922371297359,-0.00221741518443404,-0.0026727692788293,-0.00319726845737771,-0.00355600873684252,-0.00107317089245905,-0.00124740623990432,-0.00146175871151772,-0.00180296110892311,-0.00215916073608588
"7",-0.00300935645874119,-0.00329400621944312,-0.0036611628836746,-0.0041696234838938,-0.00460569391843581,-0.0019662865832052,-0.00216631550910126,-0.00228953246896677,-0.00261859025186443,-0.00304884173010214
"8",-0.00300169423053775,-0.0032708019933943,-0.00368049372273771,-0.00420233828530969,-0.00455595540824011,-0.00211101406115754,-0.00228497996103636,-0.00242169574880233,-0.00274296598302589,-0.00308888845591751
"9",-0.00260202665519184,-0.0028660966721973,-0.00323836128178444,-0.00372118397716452,-0.00398574167700015,-0.00169259982495325,-0.00188246188694546,-0.00201384246335178,-0.00232844628497208,-0.00258862192694747
"10",-0.00405212009243328,-0.00431966762611994,-0.00470647470296453,-0.00519621307884695,-0.00557647423593144,-0.00313690196067928,-0.00331862246438825,-0.00348535702045201,-0.0037997158867582,-0.00417218088977207
"11",-0.0033014752629567,-0.0035503569337268,-0.00377315692293802,-0.0041919491593068,-0.00456296662900495,-0.00233409197759887,-0.00248189199786219,-0.00253071011294543,-0.00275979786811899,-0.00313385992641205
"12",-0.00168106645546537,-0.00191480015052267,-0.00218265643522903,-0.00262391114738475,-0.00288728181369777,-0.000933472156703105,-0.0010344649722203,-0.00109667891714693,-0.00129440631180547,-0.00155311732429586
"13",-0.00224296337487845,-0.00244179221559747,-0.0027838678496866,-0.0031850323784354,-0.00360406008898819,-0.0017428016634255,-0.00186011474694913,-0.00199949755155905,-0.00222616125453821,-0.00264969786574705
"14",-0.00390387430851036,-0.00417344235386106,-0.00438106730482898,-0.00482175539317058,-0.00522907908800572,-0.00279921952692991,-0.00295045471834814,-0.00299011481296954,-0.00322304980621803,-0.00362674910231548
"15",-0.00521065935460988,-0.0055643245681884,-0.0059674663899364,-0.00657804530271098,-0.00696136463586225,-0.00383341214728085,-0.00407630810654833,-0.00419873282856809,-0.00458644607500525,-0.00495677279109262
"16",-0.00159946933903967,-0.0018428558117205,-0.00216980545412382,-0.00262688389751615,-0.00292190718638145,-0.000840119959879666,-0.000972472684865736,-0.00109396690532435,-0.00133972363809088,-0.00163872653941723
"17",-0.00515742110054588,-0.00546226655560462,-0.005784125526739,-0.00631545285045325,-0.00696865210770012,-0.00401123658289415,-0.0041980570838601,-0.0042783474258079,-0.00458105002320786,-0.00521644278164795
"18",-0.00206485527910224,-0.00228636372468491,-0.00266582657252356,-0.00312975795829805,-0.00356701611268267,-0.00146715250335568,-0.00157603404379338,-0.0017126190137843,-0.00195684105631227,-0.00238841207730379
"19",-0.0015465527048416,-0.00176017842858486,-0.00200641123193409,-0.00239678013834722,-0.0027444923854987,-0.00079202166409874,-0.000916330023878472,-0.00097048305354179,-0.00118124431535098,-0.00151661534630706
"20",-0.00343671641649461,-0.00368314023070424,-0.00388844456872101,-0.00430872575269275,-0.00485975865456612,-0.00250634238493778,-0.00262285180142122,-0.00267178746639755,-0.00286777735871423,-0.00342437305183299
"21",-0.00224629657237934,-0.00249763671426954,-0.00275113191968483,-0.00317589872426851,-0.00348275720583625,-0.00125040433500036,-0.00141907286358294,-0.00148277620825646,-0.00174147158463896,-0.00204620903302333
"22",-0.00434956132133359,-0.00461584398845683,-0.00490662769450217,-0.00536754986375948,-0.00573352697154528,-0.00333991612628032,-0.00350888634210179,-0.00360005294354013,-0.00387304510358765,-0.00423740263542175
"23",-0.00171354800025276,-0.0019430910166091,-0.00220555156653455,-0.00262218678600991,-0.00284861494123463,-0.000915250785747005,-0.00104302801145239,-0.00111273393398276,-0.00133432725215423,-0.00156547494863913
"24",-0.00267865594092563,-0.00283692094785545,-0.00308931384010083,-0.00341137216152824,-0.00380308147252714,-0.00225686650938298,-0.00234084811664155,-0.00242309293429681,-0.00259035220237318,-0.00297873707636681
"25",-0.00253104524399139,-0.00277065846911511,-0.00307960888910072,-0.00351435276244873,-0.00367958464915969,-0.0017117076951412,-0.00187050306872553,-0.00196793089825402,-0.00223010571827074,-0.0023863907317806
"26",-0.00419257812224514,-0.00447017929386285,-0.00474344381759589,-0.00522024280835872,-0.00570254305900793,-0.00311538778640919,-0.0032802445506547,-0.00335147642477966,-0.00361927748870936,-0.00410099521052507
"27",-0.00241992726482691,-0.00262626396565801,-0.00300461535038983,-0.00342472284580109,-0.00381103595861913,-0.00184436398217204,-0.00197051639653098,-0.00214300931376895,-0.00239706279494279,-0.00278125642081558
"28",-0.0053597506484881,-0.00567816481442769,-0.00594279496780865,-0.0064599948536975,-0.00691855457449959,-0.00402895873022235,-0.00423253881869815,-0.00428708346068954,-0.00459097628948386,-0.00504387865920368
"29",-0.00357009423847687,-0.00386398911384095,-0.00416967879573828,-0.00468208623174974,-0.00496557830538972,-0.00245474445981877,-0.00262927897578682,-0.00270627212184375,-0.00299137560593,-0.00327936920448442
"30",-0.00353764498172249,-0.00380131635153849,-0.00419423461547167,-0.00469256210736426,-0.00513071608564004,-0.00265550760446776,-0.00282816341135321,-0.00298092501261208,-0.00329189736767416,-0.00372527766711502
"31",-0.00322959139333166,-0.00343144893166952,-0.00375472570346665,-0.0041495036092066,-0.0046024723750205,-0.00265635905348468,-0.00278817840774715,-0.00290470165176166,-0.00314141429037326,-0.0035871459377351
"32",-0.00427772640997453,-0.00456256927156118,-0.00489046495900262,-0.0053823204109939,-0.00580171830101161,-0.00319503408143938,-0.0033880255785847,-0.00349929424312477,-0.00381006749582261,-0.00423342347589777
"33",-0.000992547130304838,-0.00117720356222254,-0.00140233324942922,-0.00175500812588568,-0.00207796011773887,-0.000443791082938594,-0.00052714311190547,-0.000583354179205168,-0.000740239378434037,-0.00105826495065017
"34",-0.00206648992922425,-0.00223693497208482,-0.00251055908601432,-0.00286754235485482,-0.003281591624673,-0.00165078102564092,-0.00172778353343698,-0.00180711980188528,-0.00197210064704308,-0.00238504267466213
"35",-0.00319048840939926,-0.00346486195773684,-0.00383323318396932,-0.0043326676732521,-0.00468571500937357,-0.00223695297403926,-0.00242209458566982,-0.00255095853556609,-0.00286334935754915,-0.00320129650256091
"36",-0.00280456885184485,-0.00309959233187584,-0.00347694679282159,-0.00402052940171162,-0.00436388474435549,-0.00176433109539087,-0.00194948740310225,-0.00205323892727963,-0.00237265361064373,-0.00270345711274374
